ts_r,acc_x_r,acc_y_r,acc_z_r,temp_r,gyr_x_r,gyr_y_r,gyr_z_r,mag_x_r,mag_y_r,mag_z_r,kal_status_r,alpha_r,beta_r,ts_n,acc_x_n,acc_y_n,acc_z_n,temp_n,gyr_x_n,gyr_y_n,gyr_z_n,mag_x_n,mag_y_n,mag_z_n,kal_status_n,alpha_n,beta_n,started,calibrated,monitoring,zone,in_bending_orange_zone,in_bending_red_zone,in_overreach_zone,bending_buzzing,overreach_buzzing,walking,vibrating,static_posture,label,label2
64890,0.991943359,-0.074951172,-0.269287109,3792,-1.220703125,-1.800537109,0.793457031,-15,52,304,3,-16295,-17756,64895,0.997070313,-0.03515625,-0.130126953,3488,-1.770019531,-0.701904297,1.617431641,-73,-4018,739,51,-705,1792,TRUE,TRUE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,staan,normaal
64891,0.985351563,-0.079345703,-0.277587891,3776,-1.129150391,-0.579833984,0.579833984,-15,52,304,3,-16295,-17756,64896,0.990966797,-0.030029297,-0.132080078,3488,-1.098632813,-0.915527344,1.342773438,-73,-4018,739,51,-705,1792,TRUE,TRUE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,staan,normaal
64892,0.988769531,-0.084228516,-0.275390625,3872,-0.701904297,1.403808594,1.037597656,2986,3322,-1121,3,-16295,-17756,64897,0.993164063,-0.0390625,-0.135742188,3376,-1.617431641,-0.244140625,1.342773438,-75,-4027,729,51,-705,1792,TRUE,TRUE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,staan,normaal
64893,0.990722656,-0.081054688,-0.264160156,3760,-0.823974609,1.098632813,0.915527344,2986,3322,-1121,3,-16295,-17756,64898,0.994873047,-0.039306641,-0.133056641,3472,-1.770019531,0,1.342773438,-75,-4027,729,51,-705,1792,TRUE,TRUE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,staan,normaal
64894,0.995605469,-0.083984375,-0.263671875,3872,0.152587891,-0.762939453,1.037597656,2982,3320,-1129,3,-16295,-17756,64899,1.000488281,-0.038574219,-0.133300781,3440,-1.892089844,-0.335693359,0.9765625,-78,-4030,731,51,-705,1792,TRUE,TRUE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,staan,normaal
64895,0.983642578,-0.085449219,-0.275634766,3792,0.518798828,-0.9765625,0.9765625,2982,3320,-1129,3,-16295,-17756,64900,0.992675781,-0.041992188,-0.140625,3408,-1.617431641,-0.183105469,0.762939453,-78,-4030,731,51,-705,1792,TRUE,TRUE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,staan,normaal
64896,0.983154297,-0.081542969,-0.275878906,3872,-0.9765625,-0.823974609,0.457763672,2986,3322,-1144,3,-16295,-17756,64901,0.991943359,-0.038818359,-0.141601563,3440,-2.044677734,0.061035156,0.640869141,-71,-4036,736,51,-705,1792,TRUE,TRUE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,staan,normaal
64897,0.989990234,-0.080078125,-0.271972656,3840,-0.823974609,1.647949219,0.183105469,2986,3322,-1144,3,-16295,-17756,64902,0.993408203,-0.03515625,-0.140136719,3360,-1.922607422,0.701904297,0.610351563,-71,-4036,736,51,-705,1792,TRUE,TRUE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,staan,normaal
64898,0.988037109,-0.080810547,-0.265136719,3872,0.305175781,0.549316406,0.457763672,2985,3322,-1142,3,-16295,-17756,64903,0.988769531,-0.033203125,-0.138671875,3440,-1.983642578,1.922607422,0.48828125,-80,-4028,715,51,-705,1792,TRUE,TRUE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,staan,normaal
64899,0.991699219,-0.082275391,-0.272460938,3792,-1.190185547,0.48828125,0.122070313,2985,3322,-1142,3,-16295,-17756,64904,0.993896484,-0.033691406,-0.134033203,3440,-1.861572266,1.922607422,0.366210938,-80,-4028,715,51,-705,1792,TRUE,TRUE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,staan,normaal
64900,0.995849609,-0.089111328,-0.268310547,3792,-2.960205078,-0.946044922,0.762939453,2985,3307,-1144,3,-16295,-17756,64905,0.99609375,-0.029785156,-0.138916016,3408,-1.525878906,1.953125,0.701904297,-76,-4017,735,51,-705,1792,TRUE,TRUE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,staan,normaal
64901,0.987304688,-0.093505859,-0.271484375,3840,-3.601074219,0.915527344,-0.183105469,2985,3307,-1144,3,-16295,-17756,64906,1.000488281,-0.029785156,-0.131591797,3472,-1.129150391,1.739501953,0.396728516,-76,-4017,735,51,-705,1792,TRUE,TRUE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,staan,normaal
64902,0.981201172,-0.082519531,-0.275634766,3760,-2.044677734,1.037597656,-0.335693359,2987,3317,-1134,3,-16295,-17756,64907,0.996337891,-0.032958984,-0.132568359,3472,-1.037597656,1.220703125,0.48828125,-76,-4026,741,51,-705,1792,TRUE,TRUE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,staan,normaal
64903,0.985595703,-0.086669922,-0.273925781,3824,-1.647949219,4.39453125,-0.152587891,2987,3317,-1134,3,-16295,-17756,64908,0.996582031,-0.034912109,-0.130126953,3536,-0.946044922,0.732421875,0.793457031,-76,-4026,741,51,-705,1792,TRUE,TRUE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,staan,normaal
64904,0.998046875,-0.086914063,-0.256835938,3792,-3.41796875,-0.122070313,0.579833984,2991,3312,-1137,3,-16295,-17756,64909,0.995849609,-0.032958984,-0.129882813,3520,-0.762939453,0.244140625,0.549316406,-77,-4030,724,51,-705,1792,TRUE,TRUE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,staan,normaal
64905,0.994140625,-0.082763672,-0.279541016,3824,-2.655029297,-1.983642578,0.244140625,2991,3312,-1137,3,-16295,-17756,64910,1.006835938,-0.041259766,-0.128173828,3488,-1.861572266,-0.030517578,0.579833984,-77,-4030,724,51,-705,1792,TRUE,TRUE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,staan,normaal
64906,0.9765625,-0.072998047,-0.283691406,3840,1.556396484,-0.305175781,0.762939453,2987,3307,-1114,3,-16295,-17756,64911,1.000732422,-0.038818359,-0.127441406,3488,-1.312255859,-0.915527344,0.213623047,-77,-4024,763,51,-705,1792,TRUE,TRUE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,staan,normaal
64907,0.980957031,-0.103027344,-0.271972656,3840,-0.640869141,8.422851563,-1.342773438,2987,3307,-1114,3,-16295,-17756,64912,1.004638672,-0.041748047,-0.131347656,3408,-1.861572266,-1.251220703,0.457763672,-77,-4024,763,51,-705,1792,TRUE,TRUE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,staan,normaal
64908,0.994140625,-0.094970703,-0.257080078,3792,-5.37109375,8.239746094,-2.044677734,2980,3310,-1114,3,-16295,-17756,64913,0.987060547,-0.032958984,-0.137207031,3488,-1.46484375,-1.586914063,-0.640869141,-80,-4015,766,51,-705,1792,TRUE,TRUE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,staan,normaal
64909,0.994628906,-0.086669922,-0.254882813,3760,-5.615234375,5.218505859,-1.46484375,2980,3310,-1114,3,-16295,-17756,64914,0.993408203,-0.025878906,-0.136230469,3376,-1.159667969,-0.427246094,-0.946044922,-80,-4015,766,51,-705,1792,TRUE,TRUE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,staan,normaal
