ts_r,acc_x_r,acc_y_r,acc_z_r,temp_r,gyr_x_r,gyr_y_r,gyr_z_r,mag_x_r,mag_y_r,mag_z_r,kal_status_r,alpha_r,beta_r,ts_n,acc_x_n,acc_y_n,acc_z_n,temp_n,gyr_x_n,gyr_y_n,gyr_z_n,mag_x_n,mag_y_n,mag_z_n,kal_status_n,alpha_n,beta_n,started,calibrated,monitoring,zone,in_bending_orange_zone,in_bending_red_zone,in_overreach_zone,bending_buzzing,overreach_buzzing,walking,vibrating,static_posture,label,label2
71403.0,0.9892578125,-0.083740234375,-0.282470703125,3792.0,-0.30517578125,-0.396728515625,-0.335693359375,-5.0,2.0,45.0,3.0,-17397.0,-14814.0,71408.0,1.003173828125,-0.012939453125,-0.071044921875,3520.0,-1.0986328125,1.77001953125,2.410888671875,-134.0,-3506.0,1480.0,0.0,-705.0,1792.0,True,True,False,0,False,False,False,False,False,False,False,0,kalibratie,kalibratie
71404.0,0.984375,-0.081787109375,-0.279052734375,3888.0,0.518798828125,-0.823974609375,0.152587890625,-5.0,2.0,45.0,3.0,-17397.0,-14814.0,71409.0,0.997314453125,0.0009765625,-0.07861328125,3488.0,-1.03759765625,1.861572265625,2.777099609375,-114.0,-3538.0,1172.0,0.0,-705.0,1792.0,True,True,False,0,False,False,False,False,False,False,False,0,kalibratie,kalibratie
71405.0,0.983154296875,-0.088134765625,-0.278076171875,3872.0,0.48828125,-0.640869140625,0.48828125,3000.0,3149.0,-832.0,3.0,-17397.0,-14814.0,71410.0,1.0009765625,0.00244140625,-0.072265625,3552.0,-1.251220703125,2.288818359375,2.86865234375,-114.0,-3538.0,1172.0,0.0,-705.0,1792.0,True,True,False,0,False,False,False,False,False,False,False,0,kalibratie,kalibratie
71406.0,0.982666015625,-0.08935546875,-0.279541015625,3872.0,0.152587890625,-0.3662109375,0.18310546875,3000.0,3149.0,-832.0,3.0,-17397.0,-14814.0,71411.0,1.001953125,-0.002197265625,-0.074462890625,3520.0,-1.373291015625,2.197265625,2.99072265625,-147.0,-3504.0,1485.0,0.0,-705.0,1792.0,True,True,False,0,False,False,False,False,False,False,False,0,kalibratie,kalibratie
71407.0,0.985595703125,-0.087646484375,-0.278564453125,3936.0,-0.274658203125,-0.701904296875,0.030517578125,2998.0,3127.0,-852.0,3.0,-17397.0,-14814.0,71412.0,1.002197265625,-0.002197265625,-0.075439453125,3552.0,-1.220703125,2.105712890625,3.47900390625,-147.0,-3504.0,1485.0,0.0,-705.0,1792.0,True,True,False,0,False,False,False,False,False,False,False,0,kalibratie,kalibratie
71408.0,0.9814453125,-0.09130859375,-0.281005859375,3968.0,-0.54931640625,-0.640869140625,0.274658203125,2998.0,3127.0,-852.0,3.0,-17397.0,-14814.0,71413.0,1.00048828125,-0.00146484375,-0.0751953125,3488.0,-1.068115234375,1.373291015625,4.08935546875,-156.0,-3514.0,1493.0,0.0,-705.0,1792.0,True,True,False,0,False,False,False,False,False,False,False,0,kalibratie,kalibratie
71409.0,0.9794921875,-0.0849609375,-0.277099609375,3952.0,-0.762939453125,-0.732421875,0.30517578125,3016.0,3102.0,-1014.0,3.0,-17397.0,-14814.0,71414.0,1.000732421875,-0.00732421875,-0.076171875,3600.0,-1.3427734375,1.5869140625,5.096435546875,-156.0,-3514.0,1493.0,0.0,-705.0,1792.0,True,True,False,0,False,False,False,False,False,False,False,0,kalibratie,kalibratie
71410.0,0.988525390625,-0.086669921875,-0.28271484375,3904.0,-0.79345703125,-1.03759765625,0.885009765625,3016.0,3102.0,-1014.0,3.0,-17397.0,-14814.0,71415.0,0.99560546875,-0.0087890625,-0.069580078125,3520.0,-1.129150390625,2.227783203125,5.889892578125,-168.0,-3527.0,1550.0,0.0,-705.0,1792.0,True,True,False,0,False,False,False,False,False,False,False,0,kalibratie,kalibratie
71411.0,0.988525390625,-0.0810546875,-0.2841796875,3936.0,-0.18310546875,-1.220703125,1.3427734375,2997.0,3140.0,-865.0,3.0,-17397.0,-14814.0,71416.0,1.006103515625,-0.009765625,-0.0712890625,3488.0,-0.54931640625,2.44140625,6.2255859375,-168.0,-3527.0,1550.0,0.0,-705.0,1792.0,True,True,False,0,False,False,False,False,False,False,False,0,kalibratie,kalibratie
71412.0,0.984375,-0.08642578125,-0.28125,3872.0,-0.274658203125,-0.79345703125,1.03759765625,2997.0,3140.0,-865.0,3.0,-17397.0,-14814.0,71417.0,0.99853515625,-0.015869140625,-0.071044921875,3440.0,-0.030517578125,2.86865234375,6.439208984375,-177.0,-3557.0,1492.0,0.0,-705.0,1792.0,True,True,False,0,False,False,False,False,False,False,False,0,kalibratie,kalibratie
